,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
333,Nico di Angelo/Leo Valdez,20 Mar 2019,Nico,Leo,,,,,
334,Nico di Angelo/Percy Jackson,20 Mar 2019,Nico,Percy,,,,,
335,Nico di Angelo/Jason Grace/Percy Jackson/Leo Valdez,20 Mar 2019,Nico,Jason,Percy,Leo,,,
336,Nico di Angelo/Will Solace,20 Mar 2019,Nico,Will,,,,,
337,Nico di Angelo/Will Solace,20 Mar 2019,Nico,Will,,,,,
338,Nico di Angelo/Will Solace,19 Mar 2019,Nico,Will,,,,,
339,Calypso/Leo Valdez,19 Mar 2019,Calypso,Leo,,,,,
340,Calypso/Leo Valdez,19 Mar 2019,Calypso,Leo,,,,,
341,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
342,Hazel Levesque/Frank Zhang,19 Mar 2019,Hazel,Frank,,,,,
343,Jason Grace/Piper McLean,19 Mar 2019,Jason,Piper,,,,,
344,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
345,Jason Grace/Piper McLean,19 Mar 2019,Jason,Piper,,,,,
346,Nico di Angelo/Will Solace,19 Mar 2019,Nico,Will,,,,,
347,Calypso/Leo Valdez,19 Mar 2019,Calypso,Leo,,,,,
348,Will Solace/Nico di Angelo,19 Mar 2019,Will,Nico,,,,,
349,Minor Percy Jackson/Annabeth Chase,19 Mar 2019,Percy,Annabeth,,,,,
350,minor Jason Grace/Piper Mclean - Relationship,19 Mar 2019,Jason,Piper,,,,,
351,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
352,Nico di Angelo/Percy Jackson,19 Mar 2019,Nico,Percy,,,,,
353,Nico di Angelo/Jason Grace,19 Mar 2019,Nico,Jason,,,,,
354,Nico di Angelo/Will Solace,19 Mar 2019,Nico,Will,,,,,
355,Annabeth Chase/Piper McLean,19 Mar 2019,Annabeth,Piper,,,,,
356,Hazel Levesque/Frank Zhang,19 Mar 2019,Hazel,Frank,,,,,
357,Calypso/Leo Valdez,19 Mar 2019,Calypso,Leo,,,,,
358,Paul Blofis/Sally Jackson,19 Mar 2019,Paul Blofis,Sally,,,,,
359,Leo Valdez/Original Female Character,19 Mar 2019,Leo,OC,,,,,
360,Jason Grace/Piper McLean,19 Mar 2019,Jason,Piper,,,,,
361,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
362,Hazel Levesque/Frank Zhang,19 Mar 2019,Hazel,Frank,,,,,
363,Nico di Angelo/Will Solace,19 Mar 2019,Nico,Will,,,,,
364,Gleeson Hedge/Mellie,19 Mar 2019,Hedge,Mellie,,,,,
365,Clarisse La Rue/Chris Rodriguez,19 Mar 2019,Clarisse,Chris,,,,,
366,Silena Beauregard/Charles Beckendorf,19 Mar 2019,Silena,Charles,,,,,
367,Nico di Angelo/Percy Jackson,19 Mar 2019,Nico,Percy,,,,,
368,Thalia Grace/Reyna Avila Ramírez-Arellano,19 Mar 2019,Thalia,Reyna,,,,,
369,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
370,Hazel Levesque/Frank Zhang,19 Mar 2019,Hazel,Frank,,,,,
371,Jason Grace/Piper McLean,19 Mar 2019,Jason,Piper,,,,,
372,Nico di Angelo/Will Solace,19 Mar 2019,Nico,Will,,,,,
373,Juniper/Grover Underwood,19 Mar 2019,Juniper,Grover,,,,,
374,Katie Gardner/Travis Stoll,19 Mar 2019,Katie,Travis,,,,,
375,Mitchell/Connor Stoll,19 Mar 2019,Mitchell,Connor,,,,,
376,Nico di Angelo/Percy Jackson,19 Mar 2019,Nico,Percy,,,,,
377,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
378,Jason Grace/Piper McLean,19 Mar 2019,Jason,Piper,,,,,
379,Annabeth Chase/Percy Jackson,19 Mar 2019,Annabeth,Percy,,,,,
380,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
381,Calypso/Leo Valdez,18 Mar 2019,Calypso,Leo,,,,,
382,Jason Grace/Piper McLean,18 Mar 2019,Jason,Piper,,,,,
383,Connor Stoll/Travis Stoll,18 Mar 2019,Connor,Travis,,,,,
384,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
385,Jason Grace/Piper McLean,18 Mar 2019,Jason,Piper,,,,,
386,Silena Beauregard/Charles Beckendorf,18 Mar 2019,Silena,Charles,,,,,
387,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
388,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
389,Percy Jackson/Clarisse La Rue,18 Mar 2019,Percy,Clarisse,,,,,
390,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
391,Jason Grace/Piper McLean,18 Mar 2019,Jason,Piper,,,,,
392,Hazel Levesque/Frank Zhang,18 Mar 2019,Hazel,Frank,,,,,
393,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
394,Percy Jackson/Zoë Nightshade,18 Mar 2019,Percy,Zo,,,,,
395,Bianca di Angelo/Luke Castellan,18 Mar 2019,Bianca,Luke,,,,,
396,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
397,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
398,Jason Grace/Piper McLean,18 Mar 2019,Jason,Piper,,,,,
399,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
400,Hazel Levesque/Frank Zhang,18 Mar 2019,Hazel,Frank,,,,,
401,Calypso/Leo Valdez,18 Mar 2019,Calypso,Leo,,,,,
402,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
403,Thalia Grace/Reyna Avila Ramírez-Arellano,18 Mar 2019,Thalia,Reyna,,,,,
404,Jason Grace/Piper McLean,18 Mar 2019,Jason,Piper,,,,,
405,Hazel Levesque/Frank Zhang,18 Mar 2019,Hazel,Frank,,,,,
406,Aphrodite/Sally Jackson,18 Mar 2019,Aphrodite,Sally,,,,,
407,Nico di Angelo/Jason Grace,18 Mar 2019,Nico,Jason,,,,,
408,Calypso/Leo Valdez,18 Mar 2019,Calypso,Leo,,,,,
409,Octavian/Leo Valdez,18 Mar 2019,Octavian,Leo,,,,,
410,Jason Grace/Percy Jackson,18 Mar 2019,Jason,Percy,,,,,
411,Nico di Angelo/Will Solace,18 Mar 2019,Nico,Will,,,,,
412,Annabeth Chase/Percy Jackson,18 Mar 2019,Annabeth,Percy,,,,,
413,Annabeth Chase/Percy Jackson,15 Mar 2019,Annabeth,Percy,,,,,
414,Jason Grace/Piper McLean,15 Mar 2019,Jason,Piper,,,,,
415,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
416,Malcolm Pace/Original Character,15 Mar 2019,Malcolm Pace,OC,,,,,
417,Annabeth Chase/Percy Jackson ,15 Mar 2019,Annabeth,Percy,,,,,
418,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
419,Tori/Luke Castellan,15 Mar 2019,Tori,Luke,,,,,
420,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
421,Annabeth Chase/Percy Jackson,15 Mar 2019,Annabeth,Percy,,,,,
422,Thalia Grace/Percy Jackson,15 Mar 2019,Thalia,Percy,,,,,
423,Luke Castellan/Thalia Grace,15 Mar 2019,Luke,Thalia,,,,,
424,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
425,Thalia Grace/Reyna Avila Ramírez-Arellano,15 Mar 2019,Thalia,Reyna,,,,,
426,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
427,Luke Castellan/Thalia Grace,15 Mar 2019,Luke,Thalia,,,,,
428,Annabeth Chase/Percy Jackson,15 Mar 2019,Annabeth,Percy,,,,,
429,Hades/OC - Relationship,15 Mar 2019,Hades,OC - Relationship,,,,,
430,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
431,Annabeth Chase/Percy Jackson,15 Mar 2019,Annabeth,Percy,,,,,
432,Nico di Angelo/Will Solace,15 Mar 2019,Nico,Will,,,,,
433,Percy Jackson/Piper McLean,15 Mar 2019,Percy,Piper,,,,,
434,Jason Grace/Piper McLean,15 Mar 2019,Jason,Piper,,,,,
435,Rachel Elizabeth Dare/Percy Jackson,15 Mar 2019,Rachel,Percy,,,,,
436,Luke Castellan/Thalia Grace,15 Mar 2019,Luke,Thalia,,,,,
437,Percy Jackson/Reyna Avila Ramírez-Arellano,15 Mar 2019,Percy,Reyna,,,,,
438,Silena Beauregard/Percy Jackson,15 Mar 2019,Silena,Percy,,,,,
439,Katie Gardner/Travis Stoll,15 Mar 2019,Katie,Travis,,,,,
440,Paul Blofis/Sally Jackson,15 Mar 2019,Paul Blofis,Sally,,,,,
441,Apollo/Reyna Avila Ramírez-Arellano,15 Mar 2019,Apollo,Reyna,,,,,
442,Jason Grace/Reyna Avila Ramírez-Arellano,15 Mar 2019,Jason,Reyna,,,,,
443,Jason Grace/Percy Jackson,12 Mar 2019,Jason,Percy,,,,,
444,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
445,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
446,Dean Solace/Felix Jackson,12 Mar 2019,Dean Solace,Felix Jackson,,,,,
447,Annabeth Chase/Percy Jackson,12 Mar 2019,Annabeth,Percy,,,,,
448,Jason Grace/Piper McLean,12 Mar 2019,Jason,Piper,,,,,
449,Hazel Levesque/Frank Zhang,12 Mar 2019,Hazel,Frank,,,,,
450,Clarisse La Rue/Chris Rodriguez,12 Mar 2019,Clarisse,Chris,,,,,
451,Katie Gardner/Travis Stoll,12 Mar 2019,Katie,Travis,,,,,
452,Lou Ellen Blackstone/Connor Stoll,12 Mar 2019,Lou,Connor,,,,,
453,Nico di Angelo/Percy Jackson,12 Mar 2019,Nico,Percy,,,,,
454,Jason Grace/Percy Jackson,12 Mar 2019,Jason,Percy,,,,,
455,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
456,Hazel Levesque/Frank Zhang,12 Mar 2019,Hazel,Frank,,,,,
457,Annabeth Chase/Percy Jackson,12 Mar 2019,Annabeth,Percy,,,,,
458,Nico di Angelo/Percy Jackson,12 Mar 2019,Nico,Percy,,,,,
459,Jason Grace/Leo Valdez,12 Mar 2019,Jason,Leo,,,,,
460,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
461,Annabeth Chase/Percy Jackson,12 Mar 2019,Annabeth,Percy,,,,,
462,Nico di Angelo/Percy Jackson,12 Mar 2019,Nico,Percy,,,,,
463,Luke Castellan/Thalia Grace,12 Mar 2019,Luke,Thalia,,,,,
464,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
465,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
466,Nico di Angelo/Will Solace,12 Mar 2019,Nico,Will,,,,,
467,Nico di Angelo/Leo Valdez,12 Mar 2019,Nico,Leo,,,,,
468,Jason Grace/Leo Valdez,12 Mar 2019,Jason,Leo,,,,,
469,Annabeth Chase/Percy Jackson,12 Mar 2019,Annabeth,Percy,,,,,
470,Jason Grace/Piper McLean,12 Mar 2019,Jason,Piper,,,,,
471,Silena Beauregard/Charles Beckendorf,12 Mar 2019,Silena,Charles,,,,,
472,Nico di Angelo/Percy Jackson,12 Mar 2019,Nico,Percy,,,,,
473,Annabeth Chase/Percy Jackson,12 Mar 2019,Annabeth,Percy,,,,,
474,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
475,Thalia Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019,Thalia,Reyna,,,,,
476,Jason Grace/Piper McLean,10 Mar 2019,Jason,Piper,,,,,
477,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
478,Hazel Levesque/Leo Valdez/Frank Zhang,10 Mar 2019,Hazel,Leo,Frank,,,,
479,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
480,Magnus Chase/Alex Fierro,10 Mar 2019,Magnus,Alex,,,,,
481,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
482,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
483,Katie Gardner/Travis Stoll,10 Mar 2019,Katie,Travis,,,,,
484,Calypso/Leo Valdez,10 Mar 2019,Calypso,Leo,,,,,
485,Hazel Levesque/Frank Zhang,10 Mar 2019,Hazel,Frank,,,,,
486,Halfborn Gunderson/Mallory Keen,10 Mar 2019,Halfborn Gunderson,Mallory Keen,,,,,
487,Juniper/Grover Underwood,10 Mar 2019,Juniper,Grover,,,,,
488,"Hemithea | Emmie/Josephine ""Jo""",10 Mar 2019,Hemithea | Emmie,"Josephine ""Jo""",,,,,
489,Juniper/Grover Underwood,10 Mar 2019,Juniper,Grover,,,,,
490,Luke Castellan/Thalia Grace,10 Mar 2019,Luke,Thalia,,,,,
491,Luke Castellan/Annabeth Chase ,10 Mar 2019,Luke,Annabeth,,,,,
492,Percy Jackson/Rachel Elizabeth Dare ,10 Mar 2019,Percy,Rachel,,,,,
493,Original Character/Original Character,10 Mar 2019,OC,OC,,,,,
494,Nico di Angelo/Rachel Elizabeth Dare,10 Mar 2019,Nico,Rachel,,,,,
495,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
496,Octavian/Reyna Avila Ramírez-Arellano,10 Mar 2019,Octavian,Reyna,,,,,
497,Will Solace/Original Female Character,10 Mar 2019,Will,OC,,,,,
498,Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,10 Mar 2019,Annabeth,Piper,Reyna,,,,
499,Nico di Angelo/Jason Grace/Percy Jackson,10 Mar 2019,Nico,Jason,Percy,,,,
500,Hazel Levesque/Leo Valdez/Frank Zhang,10 Mar 2019,Hazel,Leo,Frank,,,,
501,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
502,Nico di Angelo/Percy Jackson,10 Mar 2019,Nico,Percy,,,,,
503,Percy Jackson/Leo Valdez,10 Mar 2019,Percy,Leo,,,,,
504,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
505,Ophis /Alex Fierro,10 Mar 2019,Ophis ,Alex,,,,,
506,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
507,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
508,Jason Grace/Piper McLean,10 Mar 2019,Jason,Piper,,,,,
509,Calypso/Leo Valdez,10 Mar 2019,Calypso,Leo,,,,,
510,Hazel Levesque/Frank Zhang,10 Mar 2019,Hazel,Frank,,,,,
511,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
512,Gleeson Hedge/Mellie,10 Mar 2019,Hedge,Mellie,,,,,
513,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
514,Juniper/Grover Underwood,10 Mar 2019,Juniper,Grover,,,,,
515,Clarisse La Rue/Chris Rodriguez,10 Mar 2019,Clarisse,Chris,,,,,
516,Silena Beauregard/Charles Beckendorf,10 Mar 2019,Silena,Charles,,,,,
517,Jason Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019,Jason,Reyna,,,,,
518,Jason Grace/Piper McLean,10 Mar 2019,Jason,Piper,,,,,
519,Rachel Elizabeth Dare/Percy Jackson,10 Mar 2019,Rachel,Percy,,,,,
520,Hazel Levesque/Frank Zhang,10 Mar 2019,Hazel,Frank,,,,,
521,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
522,Hazel Levesque/Frank Zhang,10 Mar 2019,Hazel,Frank,,,,,
523,Annabeth Chase/Percy Jackson,10 Mar 2019,Annabeth,Percy,,,,,
524,Jason Grace/Piper McLean,10 Mar 2019,Jason,Piper,,,,,
525,Thalia Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019,Thalia,Reyna,,,,,
526,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
527,Nico di Angelo/Percy Jackson,10 Mar 2019,Nico,Percy,,,,,
528,Nico di Angelo/Will Solace,10 Mar 2019,Nico,Will,,,,,
529,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
530,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
531,Annabeth Chase/Percy Jackson,07 Mar 2019,Annabeth,Percy,,,,,
532,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
533,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
534,Annabeth Chase/Percy Jackson,07 Mar 2019,Annabeth,Percy,,,,,
535,Jason Grace/Piper McLean,07 Mar 2019,Jason,Piper,,,,,
536,Hazel Levesque/Frank Zhang,07 Mar 2019,Hazel,Frank,,,,,
537,Annabeth Chase/Percy Jackson,07 Mar 2019,Annabeth,Percy,,,,,
538,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
539,Jason Grace/Piper McLean,07 Mar 2019,Jason,Piper,,,,,
540,Hazel Levesque/Frank Zhang,07 Mar 2019,Hazel,Frank,,,,,
541,Calypso/Leo Valdez,07 Mar 2019,Calypso,Leo,,,,,
542,Michael Kahale/Travis Stoll,07 Mar 2019,Michael Kahale,Travis,,,,,
543,Jake Mason/Connor Stoll,07 Mar 2019,Jake Mason,Connor,,,,,
544,Connor Stoll/Travis Stoll,07 Mar 2019,Connor,Travis,,,,,
545,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
546,past Percy Jackson/Annabeth Chase - Relationship,07 Mar 2019,Percy,Annabeth,,,,,
547,Nico di Angelo/Percy Jackson,07 Mar 2019,Nico,Percy,,,,,
548,Annabeth Chase/Percy Jackson,07 Mar 2019,Annabeth,Percy,,,,,
549,Jason Grace/Piper McLean,07 Mar 2019,Jason,Piper,,,,,
550,Hazel Levesque/Frank Zhang,07 Mar 2019,Hazel,Frank,,,,,
551,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
552,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
553,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
554,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
555,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
556,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
557,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
558,Nico di Angelo/Will Solace,07 Mar 2019,Nico,Will,,,,,
559,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
560,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
561,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
562,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
563,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
564,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
565,Hades/Percy Jackson,06 Mar 2019,Hades,Percy,,,,,
566,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
567,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
568,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
569,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
570,Nico di Angelo/Will Solace,06 Mar 2019,Nico,Will,,,,,
571,Annabeth Chase/Percy Jackson,06 Mar 2019,Annabeth,Percy,,,,,
572,Annabeth Chase/Percy Jackson,06 Mar 2019,Annabeth,Percy,,,,,
573,Piper McLean/Reyna Avila Ramírez-Arellano,06 Mar 2019,Piper,Reyna,,,,,
574,Piper McLean/Jason Grace ,06 Mar 2019,Piper,Jason,,,,,
575,Annabeth Chase/Percy Jackson,06 Mar 2019,Annabeth,Percy,,,,,
576,Hazel Levesque/Frank Zhang,06 Mar 2019,Hazel,Frank,,,,,
577,Jason Grace/Piper McLean,06 Mar 2019,Jason,Piper,,,,,
578,Jason Grace/Percy Jackson ,06 Mar 2019,Jason,Percy,,,,,
579,Annabeth Chase/Percy Jackson,04 Mar 2019,Annabeth,Percy,,,,,
580,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
581,Artemis/Zoe Nightshade,04 Mar 2019,Artemis,Zo,,,,,
582,Hera/Hestia ,04 Mar 2019,Hera,Hestia,,,,,
583,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
584,Jason Grace/Percy Jackson,04 Mar 2019,Jason,Percy,,,,,
585,Nico Di Angelo/Percy Jackson ,04 Mar 2019,Nico,Percy,,,,,
586,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
587,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
588,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
589,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
590,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
591,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
592,Rachel Elizabeth Dare/Reyna Avila Ramírez-Arellano,04 Mar 2019,Rachel,Reyna,,,,,
593,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
594,Annabeth Chase/Percy Jackson,04 Mar 2019,Annabeth,Percy,,,,,
595,Jason Grace/Percy Jackson,04 Mar 2019,Jason,Percy,,,,,
596,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
597,Nico di Angelo/Will Solace,04 Mar 2019,Nico,Will,,,,,
598,Artemis/Percy Jackson,04 Mar 2019,Artemis,Percy,,,,,
599,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
600,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
601,Nico di Angelo/Percy Jackson,03 Mar 2019,Nico,Percy,,,,,
602,Nico di Angelo/Percy Jackson,03 Mar 2019,Nico,Percy,,,,,
603,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
604,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
605,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
606,Paul Blofis/Sally Jackson,03 Mar 2019,Paul Blofis,Sally,,,,,
607,Percy Jackson/Piper McLean,03 Mar 2019,Percy,Piper,,,,,
608,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
609,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
610,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
611,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
612,Annabeth Chase/Percy Jackson ,03 Mar 2019,Annabeth,Percy,,,,,
613,Nico di Angelo/Percy Jackson,03 Mar 2019,Nico,Percy,,,,,
614,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
615,Jason Grace/Piper McLean,03 Mar 2019,Jason,Piper,,,,,
616,Hazel Levesque/Frank Zhang,03 Mar 2019,Hazel,Frank,,,,,
617,Nico di Angelo/Will Solace,03 Mar 2019,Nico,Will,,,,,
618,Annabeth Chase/Percy Jackson,03 Mar 2019,Annabeth,Percy,,,,,
619,Jason Grace/Piper McLean,03 Mar 2019,Jason,Piper,,,,,
620,Hazel Levesque/Frank Zhang,03 Mar 2019,Hazel,Frank,,,,,
621,Calypso/Leo Valdez,03 Mar 2019,Calypso,Leo,,,,,
622,Thalia Grace/Reyna Avila Ramírez-Arellano,03 Mar 2019,Thalia,Reyna,,,,,
623,Magnus Chase/Alex Fierro,03 Mar 2019,Magnus,Alex,,,,,
624,Apollo/OC,01 Mar 2019,Apollo,OC,,,,,
625,Thalia Grace/Luke Castellan,01 Mar 2019,Thalia,Luke,,,,,
626,Leo Valdez/OC,01 Mar 2019,Leo,OC,,,,,
627,Jason Grace/Reyna Avila Ramírez-Arellano,01 Mar 2019,Jason,Reyna,,,,,
628,Hazel Levesque/Frank Zhang,01 Mar 2019,Hazel,Frank,,,,,
629,Nico di Angelo/Will Solace,01 Mar 2019,Nico,Will,,,,,
630,Nico di Angelo/Jason Grace,01 Mar 2019,Nico,Jason,,,,,
631,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
632,Hazel Levesque/Frank Zhang,01 Mar 2019,Hazel,Frank,,,,,
633,Calypso/Piper McLean,01 Mar 2019,Calypso,Piper,,,,,
634,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
635,Sally Jackson/Poseidon,01 Mar 2019,Sally,Poseidon,,,,,
636,Amphitrite/Poseidon ,01 Mar 2019,Amphitrite,Poseidon,,,,,
637,Gaea/Ouranos ,01 Mar 2019,Gaea,Ouranos ,,,,,
638,Gaea/Tartarus ,01 Mar 2019,Gaea,Tartarus ,,,,,
639,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
640,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
641,Paul Blofis/Sally Jackson,01 Mar 2019,Paul Blofis,Sally,,,,,
642,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
643,Nico di Angelo/Percy Jackson ,01 Mar 2019,Nico,Percy,,,,,
644,Hera/Zeus ,01 Mar 2019,Hera,Zeus,,,,,
645,Hades/Persephone ,01 Mar 2019,Hades,Persephone,,,,,
646,Sally Jackson/Poseidon ,01 Mar 2019,Sally,Poseidon,,,,,
647,Amphitrite/Poseidon ,01 Mar 2019,Amphitrite,Poseidon,,,,,
648,Katie Gardner/Travis Stoll,01 Mar 2019,Katie,Travis,,,,,
649,Clarisse La Rue/Chris Rodriguez,01 Mar 2019,Clarisse,Chris,,,,,
650,Luke Castellan/Thalia Grace,01 Mar 2019,Luke,Thalia,,,,,
651,Aphrodite/Ares/Hephaestus ,01 Mar 2019,Aphrodite,Ares,Hephaestus,,,,
652,Nico di Angelo/Will Solace ,01 Mar 2019,Nico,Will,,,,,
653,Percy Jackson/Apollo,01 Mar 2019,Percy,Apollo,,,,,
654,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
655,Nico di Angelo/Will Solace,01 Mar 2019,Nico,Will,,,,,
656,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
657,Hazel Levesque/Frank Zhang,01 Mar 2019,Hazel,Frank,,,,,
658,Nico di Angelo/Will Solace,01 Mar 2019,Nico,Will,,,,,
659,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
660,Calypso/Leo Valdez,01 Mar 2019,Calypso,Leo,,,,,
661,Jason Grace/Piper McLean,01 Mar 2019,Jason,Piper,,,,,
662,Nico di Angelo/Will Solace,01 Mar 2019,Nico,Will,,,,,
663,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
664,Calypso/Leo Valdez,01 Mar 2019,Calypso,Leo,,,,,
665,Hazel Levesque/Frank Zhang,01 Mar 2019,Hazel,Frank,,,,,
666,Jason Grace/Piper McLean,01 Mar 2019,Jason,Piper,,,,,
667,Annabeth Chase/Percy Jackson,01 Mar 2019,Annabeth,Percy,,,,,
668,Jason Grace/Percy Jackson,01 Mar 2019,Jason,Percy,,,,,
669,Annabeth Chase/Piper McLean,01 Mar 2019,Annabeth,Piper,,,,,
670,Thought it is MINOR BAckground same with jason/piper being minor,01 Mar 2019,Jason,Piper,,,,,
671,Calypso/Leo Valdez,01 Mar 2019,Calypso,Leo,,,,,
